benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;mig_map+resub+algb2;1020;384;255;129;0.0733941
bar;mig_map+resub+algb2;3336;2496;12;14;2.090071
div;mig_map+resub+algb2;57247;35221;4372;2201;114.116745
hyp;mig_map+resub+algb2;214335;124005;24801;8884;856.11646
log2;mig_map+resub+algb2;32060;24119;444;210;36.108803
max;mig_map+resub+algb2;2865;2168;287;162;1.9650332
multiplier;mig_map+resub+algb2;27062;19150;274;149;17.968346
sin;mig_map+resub+algb2;5416;4149;225;123;8.838773
sqrt;mig_map+resub+algb2;24618;12964;5058;2297;64.31287
square;mig_map+resub+algb2;18484;9150;250;126;5.1385493
arbiter;mig_map+resub+algb2;11839;4513;87;21;4.833628
cavlc;mig_map+resub+algb2;693;529;16;13;16.929834
ctrl;mig_map+resub+algb2;174;75;10;9;0.40584132
dec;mig_map+resub+algb2;304;304;3;3;0.015807483
i2c;mig_map+resub+algb2;1342;1121;20;12;0.5688804
int2float;mig_map+resub+algb2;260;197;16;10;0.25741333
mem_ctrl;mig_map+resub+algb2;46836;38911;114;97;160.70169
priority;mig_map+resub+algb2;978;542;250;117;0.30734944
router;mig_map+resub+algb2;257;190;54;42;0.076740496
voter;mig_map+resub+algb2;13758;4266;70;48;3.1901448
